path,analysis,group,blank
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000000,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000001,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000002,Pmix 18.75,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000003,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000004,1-Amino-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000005,aniline,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000006,3-Amino-5-methylisoxazole,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000008,Sulfanilic acid,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000009,4-Hydroxybenzenesulfonamide,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000010,Forbisen,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000011,Formanilide,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000012,N-ethyl-3-hydroxybenzamide,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000013,N-Phenylpropanamide,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000014,Pmix 18.75,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240201-TPs-seperate000015,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240202-p-aminophenol000001,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240202-p-aminophenol000002,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240202-p-aminophenol000003,p-Aminophenol,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240202-p-aminophenol000004,p-Aminophenol,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240201-TPs-seperate/export,20240202-p-aminophenol000005,MQ,MQ
