path,analysis,group,blank
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000001,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000002,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000003,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000004,Pmix 1172,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000005,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000006,Pmix 1172,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000007,Pmix 2344,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000008,Pmix 4688,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000009,Pmix 9375,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000010,Pmix 18750,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000011,Pmix 37500,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000012,Pmix 75000,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000013,Pmix 150000,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000014,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000015,TPmix 1172,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000016,TPmix 2344,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000017,TPmix 4688,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000018,TPmix 9375,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000019,TPmix 18750,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000020,TPmix 37500,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000021,TPmix 75000,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000022,TPmix 150000,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000023,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000024,Pmix 18750,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000025,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000026,Pmix 18,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000027,Pmix 37,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000028,Pmix 73,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000029,Pmix 146,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000030,Pmix 293,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000031,Pmix 586,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000032,Pmix 1172,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000033,Pmix 2344,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000034,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000035,TPmix 18,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000036,TPmix 37,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000037,TPmix 73,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000038,TPmix 146,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000039,TPmix 293,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000040,TPmix 586,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000041,TPmix 1172,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000042,TPmix 2344,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000043,MQ,MQ
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/confirm Jan24/Extra measurements 2024/20240131-Parents+TP-test/export,20240131-P+TPs-test000044,Pmix 18750,MQ
