path,analysis,group,blank,conc
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000001-20221123,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000002-20221123,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000008-20221123,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000020-20221123,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000001-20221124-0hNOM,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000002-20221124-0hNOM,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000008-20221124-0hNOM,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000001-20221124-2h,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000002-20221124-2h,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000008-20221124-2h,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000001-20230102,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000002-20230102,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000008-20230102,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000016-20230102,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000025-20230102,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000001-20230104,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000002-20230104,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000008-20230104,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000035-20230104,MQ,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000009-20221124-2h,UV_25,"MQ,UV_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000012-20221124-2h,UV_25,"MQ,UV_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000015-20221124-2h,UV_25,"MQ,UV_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000009-20221123,UV_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000013-20221123,UV_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000017-20221123,UV_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000010-20221124-2h,UV_75,"MQ,UV_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000013-20221124-2h,UV_75,"MQ,UV_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000016-20221124-2h,UV_75,"MQ,UV_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000010-20221123,UV_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000014-20221123,UV_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000018-20221123,UV_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000011-20221124-2h,UV_150,"MQ,UV_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000014-20221124-2h,UV_150,"MQ,UV_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000017-20221124-2h,UV_150,"MQ,UV_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000011-20221123,UV_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000015-20221123,UV_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000019-20221123,UV_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000010-20230102,UV_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000014-20230102,UV_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000010-20230104,UV_fleca,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000038-20230104,UV_fleca,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000018-20221124-2h,UV_H2O2_25,"MQ,UV_H2O2_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000021-20221124-2h,UV_H2O2_25,"MQ,UV_H2O2_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000024-20221124-2h,UV_H2O2_25,"MQ,UV_H2O2_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000022-20221123,UV_H2O2_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000026-20221123,UV_H2O2_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000030-20221123,UV_H2O2_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000019-20221124-2h,UV_H2O2_75,"MQ,UV_H2O2_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000022-20221124-2h,UV_H2O2_75,"MQ,UV_H2O2_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000025-20221124-2h,UV_H2O2_75,"MQ,UV_H2O2_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000023-20221123,UV_H2O2_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000027-20221123,UV_H2O2_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000031-20221123,UV_H2O2_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000020-20221124-2h,UV_H2O2_150,"MQ,UV_H2O2_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000023-20221124-2h,UV_H2O2_150,"MQ,UV_H2O2_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000026-20221124-2h,UV_H2O2_150,"MQ,UV_H2O2_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000024-20221123,UV_H2O2_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000028-20221123,UV_H2O2_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221123 0hr degr no UV and +H2O2/export,Sample000032-20221123,UV_H2O2_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000019-20230102,UV_H2O2_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000023-20230102,UV_H2O2_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000019-20230104,UV_H2O2_fleca,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000047-20230104,UV_H2O2_fleca,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000021-20230104,UV_H2O2_meto,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000049-20230104,UV_H2O2_meto,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000035-20221124-2h,UV_H2O2_NOM_25,"MQ,UV_H2O2_NOM_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000038-20221124-2h,UV_H2O2_NOM_25,"MQ,UV_H2O2_NOM_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000041-20221124-2h,UV_H2O2_NOM_25,"MQ,UV_H2O2_NOM_25_0h",25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000009-20221124-0hNOM,UV_H2O2_NOM_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000013-20221124-0hNOM,UV_H2O2_NOM_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000017-20221124-0hNOM,UV_H2O2_NOM_25_0h,MQ,25
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000036-20221124-2h,UV_H2O2_NOM_75,"MQ,UV_H2O2_NOM_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000039-20221124-2h,UV_H2O2_NOM_75,"MQ,UV_H2O2_NOM_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000042-20221124-2h,UV_H2O2_NOM_75,"MQ,UV_H2O2_NOM_75_0h",75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000010-20221124-0hNOM,UV_H2O2_NOM_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000014-20221124-0hNOM,UV_H2O2_NOM_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000018-20221124-0hNOM,UV_H2O2_NOM_75_0h,MQ,75
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000037-20221124-2h,UV_H2O2_NOM_150,"MQ,UV_H2O2_NOM_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000040-20221124-2h,UV_H2O2_NOM_150,"MQ,UV_H2O2_NOM_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 2hrdegr/export,Sample000043-20221124-2h,UV_H2O2_NOM_150,"MQ,UV_H2O2_NOM_150_0h",150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000011-20221124-0hNOM,UV_H2O2_NOM_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000015-20221124-0hNOM,UV_H2O2_NOM_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20221124 0hrdegr +nom/export,Sample000019-20221124-0hNOM,UV_H2O2_NOM_150_0h,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000028-20230102,UV_H2O2_NOM_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230102 Dark controls 2hrdegr/export,Sample000032-20230102,UV_H2O2_NOM_150_dark,MQ,150
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000028-20230104,UV_H2O2_NOM_fleca,MQ,
C:/Users/Rick Helmus/OneDrive - UvA/PhD/TooCOLD/20230104 Separate compound degradations pos + neg/pos/export,Sample000056-20230104,UV_H2O2_NOM_fleca,MQ,
